"","id","name","logo","output$form","played.home","played.away","played.total","wins.home","wins.away","wins.total","draws.home","draws.away","draws.total","loses.home","loses.away","loses.total","home","away","total","home","away","total"
"20",2,"France","https://media.api-sports.io/football/teams/2.png","WWDWL",3,2,5,2,1,3,0,1,1,1,0,1,5,5,10,1,2,3
"21",1,"Belgium","https://media.api-sports.io/football/teams/1.png","WWWWL",3,2,5,3,1,4,0,0,0,0,1,1,5,1,6,2,1,3
"22",27,"Portugal","https://media.api-sports.io/football/teams/27.png","LDW",1,2,3,1,0,1,0,1,1,0,1,1,2,2,4,1,6,7
"23",25,"Germany","https://media.api-sports.io/football/teams/25.png","LWL",2,1,3,1,0,1,0,0,0,1,1,2,2,0,2,2,2,4
"24",15,"Switzerland","https://media.api-sports.io/football/teams/15.png","DWDL",1,3,4,0,1,1,1,1,2,0,1,1,2,3,5,2,3,5
"25",9,"Spain","https://media.api-sports.io/football/teams/9.png","DWDD",2,2,4,0,1,1,2,1,3,0,0,0,3,4,7,3,3,6
"26",3,"Croatia","https://media.api-sports.io/football/teams/3.png","WWWDDWL",3,4,7,2,2,4,1,1,2,0,1,1,5,9,14,2,7,9
"27",21,"Denmark","https://media.api-sports.io/football/teams/21.png","WDDD",2,2,4,0,1,1,2,1,3,0,0,0,1,2,3,1,1,2
"28",14,"Serbia","https://media.api-sports.io/football/teams/14.png","WLL",2,1,3,0,1,1,0,0,0,2,0,2,1,1,2,4,0,4
"29",10,"England","https://media.api-sports.io/football/teams/10.png","WWLDWLL",2,5,7,1,2,3,0,1,1,1,2,3,6,6,12,2,6,8
"30",24,"Poland","https://media.api-sports.io/football/teams/24.png","LLW",2,1,3,0,1,1,0,0,0,2,0,2,1,1,2,5,0,5
"31",2,"France","https://media.api-sports.io/football/teams/2.png","WWDWWWW",5,2,7,5,1,6,0,1,1,0,0,0,12,2,14,6,0,6
"32",1,"Belgium","https://media.api-sports.io/football/teams/1.png","WWWWWLW",4,3,7,4,2,6,0,0,0,0,1,1,13,3,16,4,2,6
"33",27,"Portugal","https://media.api-sports.io/football/teams/27.png","DWDL",2,2,4,1,0,1,1,1,2,0,1,1,4,2,6,3,3,6
"34",25,"Germany","https://media.api-sports.io/football/teams/25.png","LDW",1,2,3,0,1,1,0,1,1,1,0,1,1,5,6,2,3,5
"35",15,"Switzerland","https://media.api-sports.io/football/teams/15.png","WLWL",1,3,4,1,1,2,0,0,0,0,2,2,1,4,5,0,9,9
"36",9,"Spain","https://media.api-sports.io/football/teams/9.png","WDLD",2,2,4,1,0,1,1,1,2,0,1,1,8,1,9,1,2,3
